seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
54,Sara,Greer,18,Weod Street,Vutagoti,NM,60057,$8796.21,YELLOW,05/10/1908
55,Leonard,Moody,60,Mukte Path,Diclucdal,AZ,67573,$509.11,GREEN,10/20/1939
56,Anthony,Rios,63,Colan Center,Jobtomde,IL,39240,$603.37,BLUE,02/02/1937
57,Jimmy,Diaz,28,Rosfo Glen,Cidcajbig,VA,65150,$597.24,WHITE,04/05/2004
58,Devin,Valdez,22,Witdu Place,Dipufmob,WV,49766,$5777.99,GREEN,11/16/2049
59,Harold,Brooks,65,Aluha Point,Gapiwag,ND,99927,$7789.64,WHITE,12/13/1964
60,Barry,Burton,59,Carih Street,Pumhicpaz,OK,25698,$2472.35,WHITE,09/04/1989
61,Lewis,Bridges,48,Papave River,Cusegfom,LA,62981,$7919.71,GREEN,08/18/1978
62,David,Watts,42,Nacad River,Najuvun,NH,28730,$9386.64,WHITE,07/08/2035
63,Dennis,Bowman,33,Nukcil Terrace,Gendiwo,PA,97133,$6232.91,BLUE,06/21/1998
64,Alvin,Dawson,57,Wehso Highway,Luwipuf,DE,91193,$4469.19,BLUE,12/22/1993
65,Theodore,Walker,30,Igusu River,Kokabic,NH,54140,$6791.06,GREEN,03/03/1978
66,Nathan,Harper,20,Zolo Pike,Diwvozre,NH,41298,$5227.84,RED,04/22/1993
67,Luke,Pena,37,Hetew Extension,Hinucaus,AK,39717,$5940.85,YELLOW,07/23/2033
68,Norman,Clark,46,Jomfij Key,Cirziun,NJ,60138,$42.97,YELLOW,09/25/1931
69,Sue,Gilbert,50,Ichuh View,Repgivlu,NM,78292,$9152.40,BLUE,02/22/1970
70,Ellen,Mason,21,Etamu Path,Vavukiw,IL,27494,$9162.95,RED,05/15/2058
71,Mildred,Griffin,36,Ohfo Mill,Totzezok,IL,13771,$9078.70,WHITE,09/18/2026
72,Lola,Ortiz,45,Vefow Loop,Vopuluv,IN,19245,$4203.15,YELLOW,07/28/1921
73,Hattie,Duncan,27,Badog Mill,Gemvavav,FL,63053,$209.04,GREEN,03/22/2035
74,Cecilia,Phelps,65,Buditu River,Zedadiw,ID,52050,$1113.82,WHITE,02/17/2047
75,Warren,Strickland,47,Veki Street,Zinnapvac,OH,81000,$529.55,YELLOW,07/17/2053
76,Rosalie,Jacobs,60,Rauko View,Gukkucju,NJ,29206,$2901.81,BLUE,05/21/2052
77,Bernard,Harper,31,Tosid Point,Rujogmi,IL,09344,$9540.91,RED,05/08/2027
78,Bertie,Chapman,65,Wofa Mill,Kecvosiz,HI,84987,$1254.00,RED,07/26/2031
79,Katharine,King,46,Zigtic Mill,Upiragu,ID,64507,$841.50,GREEN,05/21/2030
80,Richard,Reyes,32,Simoz Extension,Ozudome,OK,56118,$6137.90,GREEN,08/29/1942
81,Glenn,Pope,28,Acuvil Turnpike,Donceaf,DC,53718,$8452.43,GREEN,08/05/2032
82,Leon,Soto,44,Bumor Street,Tohaknob,TX,09724,$682.59,BLUE,10/24/2004
83,Isaac,Watson,63,Rulov Loop,Ifekorpon,AR,59495,$6338.35,GREEN,07/10/1953
84,Jane,Mendoza,54,Ditri Square,Suvkimjok,SD,59687,$7493.14,GREEN,07/07/1917
85,Adam,Cunningham,20,Jano Center,Gokmizow,TX,85831,$9347.10,GREEN,12/16/1940
86,Leila,Morrison,18,Omfo Square,Jefupa,HI,24412,$9333.20,YELLOW,10/14/2061
87,Abbie,Francis,35,Nural Court,Dugnivan,TX,68440,$5054.36,BLUE,01/03/2066
88,Margaret,Tucker,29,Asovog Court,Jimavfem,IN,80101,$7282.06,BLUE,01/17/1961
89,Hulda,Coleman,55,Teji Extension,Veetke,KY,46375,$38.83,BLUE,06/16/1964
90,Grace,White,29,Arova Highway,Lejuhube,TX,86186,$5625.21,GREEN,01/11/2046
91,James,Rogers,64,Sobo Park,Goltuce,DE,62356,$9483.33,RED,05/12/2049
92,Carolyn,Lindsey,24,Nomi Boulevard,Jamere,CO,39397,$2249.52,GREEN,05/21/1900
93,Zachary,Jennings,38,Gosbe Lane,Bipvizlaw,IL,29917,$6903.41,BLUE,04/24/1907
94,Philip,Bass,31,Lahto Terrace,Cagzomeh,OK,58552,$4892.83,YELLOW,05/26/1905
95,Charles,Tate,47,Pidi Manor,Cuduhdad,KY,06673,$3670.97,RED,04/30/1951
96,Isaiah,Montgomery,35,Veniv Lane,Losipajep,VA,99925,$4231.24,RED,07/05/1943
97,Lee,Saunders,65,Petada Path,Boiboz,CO,93681,$5939.63,GREEN,08/12/1972
98,Helen,Gill,39,Dipvod River,Oviesizum,ME,72673,$4039.90,YELLOW,07/30/2067
99,Juan,Neal,55,Foir Highway,Futulal,ND,21428,$185.03,YELLOW,06/29/2048
100,Ophelia,Walton,55,Icimu View,Mujketo,VT,66785,$6893.69,WHITE,03/08/2059
